Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
135,12,147,32.23,17.64,14.59,670.0999969,51,6,71.6746182,30964.49,0.73126418,0.785043625,0.762159061,0.482061199,0.694955774,0.644958366,0.455164525,0.606407567,0.553358676,8071.052632
140,12,152,32.23,17.64,14.59,703.4999968,44,6,74.10928961,26643.95,0.501173919,0.760171235,0.742323595,0.380237462,0.708338392,0.71127643,0.33833389,0.56311373,0.593693342,9152.631579
146,8,154,32.23,17.64,14.59,708.9999968,51,8,78.32565027,33563.13,0.208865948,0.823633533,0.658395421,0.151050776,0.755969489,0.516799458,0.144514957,0.633371122,0.469290139,9334.453782
145,8,153,32.23,17.64,14.59,706.6999968,54,10,78.58333325,35209.52,0.595131714,0.859914703,0.656737105,0.415120785,0.712830804,0.531665722,0.380970594,0.621576711,0.480001054,9623.255814
143,11,154,32.23,17.64,14.59,709.799997,47,6,70.61631927,28867.78,0.564913731,0.781318678,0.750760018,0.343279838,0.666818434,0.545379577,0.325288029,0.567,0.520735446,7032.674419
145,11,156,32.23,17.64,14.59,715.5999966,56,8,78.92067881,29253.85,0.393931924,0.829112808,0.704368015,0.285938089,0.558162737,0.541336255,0.26109133,0.480213538,0.487555589,5353.837209
143,11,154,32.23,17.64,14.59,709.799997,44,23,63.90013769,37982.61,0.517636537,0.884727134,0.464406541,0.409874413,0.59789432,0.354850405,0.347867925,0.563164822,0.350175351,8974.418605
138,5,143,32.23,17.64,14.59,626.9999942,54,10,77.9645061,35796.51,0.423055945,0.86091179,0.696495196,0.268025013,0.736374239,0.556063553,0.256580078,0.635954924,0.516533683,10585.10638
140,5,145,32.23,17.64,14.59,629.2999942,53,17,66.08517141,36938.35,0.522406175,0.923815414,0.648684041,0.365364333,0.807223309,0.5515616,0.348857964,0.700756705,0.482790864,10664.88372
133,11,144,32.23,17.64,14.59,563.8999983,61,23,63.48574539,46437.4,0.451005586,0.855596628,0.677555493,0.405636955,0.765783377,0.524388977,0.349333322,0.648316846,0.483006867,11339.62264
131,10,141,32.23,17.64,14.59,557.4999987,50,8,77.75929732,27448,0.391420475,0.829112808,0.58823458,0.279306434,0.573237088,0.411436143,0.254555415,0.527162023,0.402785255,7950
130,9,139,32.23,17.64,14.59,508.099993,48,9,78.71582016,31756.81,0.507269342,0.850668588,0.753469369,0.303776081,0.674430465,0.66547838,0.293960004,0.596090516,0.596676663,8659.090909
126,17,143,32.29,17.64,14.65,510.4999931,49,8,77.38695344,27915.37,0.423721266,0.816626001,0.516194741,0.320819325,0.651445614,0.399326597,0.290473583,0.576115106,0.36296684,8292.424242
130,16,146,32.29,17.64,14.65,510.0999931,45,23,64.7662601,37596.39,0.587463269,0.877347687,0.752776191,0.441329847,0.546519659,0.595126867,0.401052462,0.530380763,0.552283948,8931.818182
130,18,148,32.29,17.64,14.65,510.0999931,52,23,61.49904568,41674.68,0.700012635,0.858560697,0.6905,0.56824336,0.716187733,0.5843,0.498728245,0.623848482,0.4986,9420.673077
123,14,137,33.12,17.85,15.27,470.0999925,52,8,78.06989226,27960.84,0.346893263,0.829112808,0.563154075,0.242059724,0.55638892,0.390395166,0.222121728,0.512049637,0.387039251,7341.666667
121,12,133,33.12,17.85,15.27,461.1999924,54,6,71.3047445,33549.29,0.732580585,0.825543094,0.745824692,0.511825179,0.600151265,0.578245691,0.473861804,0.554970772,0.519017804,9225
126,14,140,33.12,17.85,15.27,469.7999925,49,8,79.07581459,33011.11,0.58537177,0.809633032,0.687924059,0.415440248,0.625721606,0.516889956,0.381003346,0.55531638,0.481701145,8135.714286
125,6,131,33.29,17.85,15.44,401.0999967,54,6,71.20992357,32278.44,0.691573195,0.812456018,0.756802349,0.507156762,0.625038331,0.610587495,0.45914062,0.566115687,0.540072462,8888.035714
126,12,138,33.29,17.85,15.44,407.7999966,46,11,67.48261143,35581.7,0.584732178,0.909744428,0.714472101,0.415440248,0.743202259,0.615340087,0.381003346,0.660008995,0.547745561,6576.315789
118,25,143,33.29,18.4,14.89,432.9000029,43,9,67.90368839,33887.66,0.584732178,0.945238374,0.84001651,0.415440248,0.736024943,0.743044869,0.381003346,0.667611323,0.651258857,9281.111111
125,23,148,33.29,18.4,14.89,450.2000026,50,6,82.06799994,23646.84,0.734986087,0.835315857,0.646907341,0.501657771,0.629611404,0.434520544,0.460423174,0.545829095,0.394785167,8709.333333
125,30,155,33.29,18.77,14.52,498.3000058,38,6,74.04439892,26602.25,0.447677365,0.743860352,0.75784449,0.333743602,0.696890336,0.635312619,0.301341104,0.578451944,0.548386105,7626.666667
128,30,158,33.29,18.77,14.52,513.3000051,53,22,62.33658374,43353.64,0.624226352,0.865570277,0.719856,0.488691079,0.789168964,0.687174,0.442172715,0.667080452,0.5812093,10610.68966
