emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
MAM,121,9,130,24.9,33.55,18.24,15.31,660.7000161,809.8,741.3,48,8,68.38279125,35138.19,0.560924141,0.81562102,0.660676334,0.388519195,0.509879322,0.56773496,0.35474039,0.492055335,0.461598797,8362.222222
JJA,140,20,160,23.29,32.92,15.81,17.11,660.8000062,760.75,798.7,50,7,73.17321431,35238.8,0.517426521,0.883532003,0.736943015,0.338024354,0.740520864,0.630384781,0.325089112,0.656097301,0.55034114,10058.75
JJA,116,30,146,23.1,31.59,17.71,13.88,615.6000079,796.35,842.5,51,10,79.80808073,35249.83,0.493934955,0.848278678,0.768756848,0.33172435,0.627913274,0.531369652,0.31373957,0.580107608,0.507379513,8602.077922
JJA,121,31,152,23.1,31.59,17.71,13.88,619.3000087,796.35,842.5,51,10,80.03950607,35284.3,0.494788914,0.849422689,0.783648206,0.360131188,0.656187745,0.563308605,0.333070424,0.597720481,0.531643654,8597.692308
MAM,122,13,135,22.52,30.5,17,13.5,552.2000023,794.35,972.6,47,20,70.48299994,35317.46,0.655339888,0.859364766,0.566967777,0.52696787,0.666382047,0.366012762,0.457389336,0.535987281,0.346786003,9717.924528
SON,122,4,126,22.12,30.68,18.13,12.55,456.4000043,768.35,960,46,12,67.00820195,35352.34,0.548217786,0.886983455,0.714891275,0.392035976,0.722850105,0.61627456,0.351651368,0.651599306,0.52999207,6007.142857
MAM,122,13,135,22.52,30.5,17,13.5,552.2000023,794.35,972.6,47,12,66.74236626,35628.71,0.546729314,0.936293967,0.772232564,0.392717667,0.803608303,0.710937782,0.35930435,0.704143835,0.592113662,11187.01299
JJA,121,27,148,23.01,31.59,17.71,13.88,606.3000102,785.9,848.7,53,8,70.00337003,36131.93,0.604765455,0.835178333,0.637275553,0.418633722,0.548626759,0.485316632,0.380137716,0.524332268,0.422391035,9327.777778
MAM,119,7,126,22.52,29.3,17,12.3,459.7000059,794.35,972.6,47,14,66.45958632,36500.88,0.546729314,0.942883476,0.784066477,0.392717667,0.850077362,0.725706581,0.35930435,0.734233891,0.601771219,10261.53846
JJA,122,20,142,23.26,31.59,17.71,13.88,549.2999994,716.5,720.4,53,10,78.08160913,36636.82,0.569185323,0.836818454,0.6725661,0.315569137,0.634165428,0.472798053,0.308513985,0.567580261,0.45923023,8418.099174
SON,118,12,130,22.05,30.68,18.13,12.55,550.8000109,806.45,1006.8,54,8,69.94867145,37115.2,0.680413507,0.861703545,0.423205044,0.501334874,0.758356058,0.294739502,0.450222474,0.651915729,0.275567708,8870
MAM,122,11,133,22.81,31.32,17,14.32,523.100006,714.15,836.6,49,21,67.1660302,37115.31,0.575667176,0.839224934,0.642953066,0.360476824,0.658290954,0.501347231,0.339713055,0.591691044,0.459434795,7327.368421
MAM,122,6,128,22.81,32.23,17,15.23,515.7000047,714.15,836.6,52,11,67.40012708,37138.52,0.546729314,0.873892743,0.527023571,0.392717667,0.777488223,0.438493845,0.35930435,0.668903341,0.407572289,11282.72981
SON,121,19,140,22.43,30.68,18.13,12.55,534.4000131,913.35,1064.4,52,21,67.87314782,37171.59,0.548082799,0.868924488,0.60198894,0.398330486,0.693179095,0.46364759,0.366819993,0.619935753,0.419714738,8389.473684
JJA,121,22,143,23.01,31.59,17.71,13.88,600.8000103,785.9,848.7,51,17,64.64038446,37213.33,0.529991553,0.905192656,0.655417131,0.367212915,0.725810041,0.532882467,0.336634793,0.649099582,0.487694578,9560.5
DJF,121,8,129,22.22,30.68,17.83,12.85,466.4000042,912.65,1182.1,54,17,65.97856264,37473.24,0.535144348,0.879342118,0.615337233,0.398568678,0.776369225,0.485679238,0.36293709,0.66454499,0.454091652,9774.651163
